UPC,Item Name,Brand,Domestic Vendors,Vendor Names,Min Price,Avg Price
8057971188192,"D&G [W] LIGHT BLUE 3.3 Oz EDT SPR [NEW]",N/A,10,"BS, CBS, Classic, Haz, MTZ, Montroyal, Nandansons, Perfume Center, Perfume Price, Yossi",39,41.16
3346470143203,"GUERLAIN IDYLLE 2.5 EDP W (NEW PACKAGING)",DIOR,10,"BS, CBS, Cosmo, Fragrance Depot, General, Haz, MTZ, Nandansons, Perfume Price, TJS",39,50.71
3346470143197,"GUERLAIN L'instant De Guerlain For Women 2.5 oz Edp Spray",DIOR,10,"BS, CBS, Classic, Fragrance Depot, General, Haz, MTZ, PWW, Perfume Price, TJS",42,52.75
3614274129281,"AZZ THE MOST WANTED EDTI V100ML",N/A,10,"Acme, BS, Classic, Cosmo, ET, Fragrance Depot, Haz, MTZ, Perfume Price, QFG",34.9,43.74
8011003900022,"VERSACE EROS M 3PCSET 3.4 EDT SPRAY / 5.0 S.GEL / 5ML *DISPLAY BOX*",N/A,10,"Acme-Sets, BS, Classic, Haz, Perfume Center, Perfume Center Sets, Perfume Price, Sanya, Spectrum, United",49,54.41
8054754401059,"Dolce & Gabbana Devotion For Men Edp Spray 100 ml",N/A,10,"BS, Classic, Haz, MTZ, Montroyal, Nandansons, Perfume Center, Perfume Plus, Perfume Price, Yossi",44,49.33
8011003832286,"VERSACE Yellow Diamond Wom EDT (200ml)",N/A,10,"BS, CBS, Classic, Nandansons, PWW, Perfume Center, Perfume Plus, Perfume Price, Sanya, Spectrum",47.5,52.59
8011003890804,"VERSACE Eros Energy Pour Homme EDP (100ml)",N/A,10,"BS, CBS, Classic, Fragrance Depot, Haz, MTZ, Montroyal, Perfume Center, Perfume Plus, Perfume Price",53.9,60.10
3432240506283,"Cartier Pasha De Cartier 3.3 Parfum Sp Men (Refillable)",FRANCK BOCLET,10,"Acme, BS, Cosmo, General, MTZ, Montroyal, PWW, Perfume Plus, Perfume Price, TJS",63.25,66.70
8411061055199,"CH CH PASSION 3.4 EDP SP L",N/A,10,"BS, Fragrance Depot, General, Gift Express, Haz, MTZ, Nandansons, Perfume Center, Perfume Plus, Perfume Price",48.5,55.69
3348901428545,"DIOR SAUVAGE EDP 200ML",N/A,10,"Acme, BS, CBS, Classic, Cosmo, ET, Fragrance Depot, Perfume Price, TJS, Yossi",135,142.49
8435415091275,"JPG LE BEAU PARA GARDEN 4.2 M (ONLY WITH PURCHASE OF RM)",Estee Lauder,10,"CBS, Classic, ET, Gift Express, Haz, MTZ, Montroyal, Nandansons, Perfume Plus, Perfume Price",79.5,85.50
3348901567572,"CD Sauvage Elixir M 2.0 spr",N/A,10,"Acme, CBS, Classic, Cosmo, Fragrance Depot, French, General, Nandansons, Perfume Price, United",130,134.45
6291106069020,"EJAAZI - Lattafa  - EAU DE PARFUM SPRAY 3.4 oz",N/A,10,"Classic, Elegance, Gift Express, Nandansons, PWW, Perfume Plus, Perfume Price, Perfumora, Spectrum, United",7.75,9.22
6291107454412,"LATTAFA ANA ABIYEDH (U) EDP 60 ml",N/A,10,"Classic, Elegance, Fragrance Depot, French, Gift Express, MTZ, PWW, Paris, Perfume Price, United",8,9.98
