UPC,Item Name,Brand,Vendors,Vendor List,Min Price,Avg Price
8435415076937,"JPG LE MALE ELIXIR 2.5 EDP M (ONLY WITH PURCHASE OF RM)",N/A,19,"Perfume Price; MTZ; Montroyal; TJS; Beauty Encounter; Nandansons; Fragrance Depot; Classic; Gift Express; ET; Premier; Aairie; Perfume Plus; Distributor; POTW; NYB; Mod; Paris; Haz",62,69.14
8435415032315,"JEAN PAUL GAULTTER LE MALE LE PARFUM INTENSE EDP 125ML",Bodycology,19,"Network; Perfume Price; NYB; Montroyal; Beauty Encounter; Nandansons; Fragrance Depot; Classic; MTZ; Awesome; Perfume Center; Gift Express; ET; Premier; Aairie; Perfume Plus; Distributor; POTW; Fap",75,82.88
8435415076944,"JPG LE MALE ELIXIR 4.2 EDP M (ONLY WITH PURCHASE OF RM)",N/A,19,"MTZ; NYB; Montroyal; Perfume Price; Beauty Encounter; Nandansons; Fragrance Depot; Perfume Plus; Classic; PWW; Awesome; Gift Express; ET; Premier; Distributor; POTW; United; Paris; Haz",82.5,89.18
98691045448,"Juicy Couture Dirty English EDT for Men | 3.4 oz / 100 ml - SPR",Juicy Couture,18,"TJS; Nandansons; Heritage; Cosmo; Perfume Price; Perfume Center; MTZ; PWW; Fragrance Depot; Gift Express; BS; Classic; Paris; United; Fragsense; Network; General; POTW",9,13.79
719346065405,"Britney Spears Fantasy EDP for Women | 3.3 oz / 100 ml",Britney Spears,18,"Source; Nandansons; Luxury; Mod; Heritage; MTZ; Perfume Center; Cosmo; Montroyal; Fragrance Depot; BS; Classic; French; Paris; United; Network; General; POTW",12.45,14.76
688575179415,"Vera Wang Fragrances Vera Wang Princess EDT for Women | 3.4 oz / 100 ml",Vera Wang Fragrances,18,"Source; Nandansons; Heritage; Cosmo; NYB; MTZ; Perfume Center; Mod; Montroyal; PWW; Gift Express; BS; Classic; French; ET; United; General; POTW",12.7,15.42
3360372017332,"Guy Laroche Drakkar Noir EDT for Men | 6.7 oz / 200 ml",Guy Laroche,18,"ABDiversified; Source; Luxury; Mod; Heritage; Nandansons; Perfume Center; Montroyal; PWW; Perfume Price; BS; Perfumora; Aairie; Paris; Network; General; POTW; Gift Express",13.25,17.91
608940519769,"Paris Hilton Man EDT for Men | 3.4 oz / 100 ml - SPR",Paris Hilton,18,"TJS; Source; United; Mod; Nandansons; Premier; Sanya; Perfume Center; Haz; Montroyal; PWW; BS; Classic; ET; Paris; Network; Perfume Price; Gift Express",15.5,16.88
88300100514,"Calvin Klein Escape EDT for Men | 3.4 oz / 100 ml",N/A,18,"Aairie; Source; Nandansons; Luxury; Heritage; Cosmo; NYB; MTZ; Perfume Center; Haz; Montroyal; BS; ET; Classic; Sanya; Paris; Network; Gift Express",16.5,18.11
3360372055402,"RALPH LAUREN Polo Sport EDT for Men | 4.2 oz / 125 ml",RALPH LAUREN,18,"TJS; Nandansons; United; Mod; Heritage; Premier; Cosmo; NYB; MTZ; Perfume Center; PWW; Gift Express; Perfume Price; Classic; Aairie; Fragsense; Perfumora; POTW",17.4,20.13
3616301623335,"Hugo Boss Boss 1 Eau De Toilette for Men | 3.3 oz / 100 ml - Spray",Hugo Boss,18,"Source; United; Heritage; Sanya; Cosmo; MTZ; Distributor; Perfume Center; Perfume Distributors; Haz; PWW; Perfume Price; BS; Gift Express; French; Paris; Network; Nandansons",17.4,19.61
85715571007,"Oscar de la Renta Oscar EDT for Women | 3.3 oz / 100 ml",N/A,18,"Source; Heritage; NYB; MTZ; Perfume Center; Cosmo; Haz; Montroyal; Perfume Price; Gift Express; Nandansons; BS; Premier; Classic; Perfumora; General; United; POTW",19.5,23.30
88300605514,"Calvin Klein Eternity EDT for Men | 3.4 oz / 100 ml",N/A,18,"Source; Nandansons; NYB; Heritage; Aairie; Perfume Center; Cosmo; Fun2; Haz; Perfume Price; Acme; ET; Premier; Classic; PWW; Perfumora; General; POTW",21.5,23.24
3605970416003,"RALPH LAUREN Polo Red EDT for Men | 4.2 oz / 125 ml",RALPH LAUREN,18,"TJS; United; Source; PWW; Heritage; Premier; Distributor; Perfume Center; Mod; Perfume Distributors; Montroyal; Nandansons; Euro; Classic; POTW; Fragsense; General; Network",24,28.50
608940583753,"Billie Eilish No.2 3.4 edp spr",N/A,18,"Perfume Price; TJS; United; Source; PWW; Aairie; Fragrance Depot; Perfume Plus; Distributor; Cosmo; Perfume Distributors; Haz; Nandansons; Premier; Classic; French; POTW; General",26.5,31.17
3274872395503,"Givenchy Pie M 3.4 edt spr",N/A,18,"Perfume Price; United; Source; Luxury; Heritage; Sanya; TJS; Aairie; NYB; Mod; Perfume Center; Fun2; Haz; Nandansons; Distributor; Fragsense; Perfumora; Paris",31,34.08
3365440003866,"Yves Saint Laurent Kouros EDT for Men | 3.3 oz / 100 ml - SPR",Yves Saint Laurent,18,"United; Source; NYB; Heritage; TJS; Perfume Plus; Mod; Cosmo; Perfume Center; Montroyal; Nandansons; Perfume Price; ET; Distributor; POTW; Fap; General; Classic",31,35.76
3607349764241,"Marc Jacobs Daisy Dream EDT for Women | 3.4 oz / 100 ml",Marc Jacobs,18,"OniEssence; Perfume Price; United; Heritage; NYB; Nandansons; Perfume Plus; Mod; Cosmo; Perfume Center; PWW; Acme; ET; Aairie; Gift Express; Classic; Paris; MTZ",35.5,41.72
